#!,Workbook:,Custom,Custom
#!,Deze gegevens afspelen: open het oorspronkelijke Excel-werkmapbestand, klik op de knop *Gegevensbestand importeren* op het lint *Data Streamer* en navigeer naar dit bestand.,
#!,Ga naar http://aka.ms/hackingstem/ voor meer informatie,,
19412,36467,,
19391,36473,,
19404,36455,,
19405,36458,,
19397,36408,,
19381,36427,,
19373,36422,,
19376,36383,,
19355,36410,,
19358,36406,,
19362,36394,,
19372,36419,,
19386,36432,,
19368,36368,,
19342,36382,,
19347,36391,,
19356,36392,,
19352,36395,,
19352,36392,,
19388,36384,,
19368,36410,,
19358,36411,,
19392,36424,,
19390,36442,,
19388,36440,,
19339,36418,,
19360,36410,,
19358,36410,,
19366,36411,,
19366,36409,,
19368,36420,,
19436,36454,,
19423,36487,,
19431,36487,,
19414,36453,,
19400,36460,,
19405,36459,,
19412,36418,,
19391,36440,,
19382,36426,,
19375,36393,,
19360,36401,,
19362,36412,,
19363,36440,,
19378,36430,,
19379,36427,,
19404,36428,,
19391,36442,,
19396,36445,,
19417,36468,,
19427,36488,,
19433,36494,,
19421,36507,,
19437,36490,,
19435,36488,,
19420,36455,,
19428,36482,,
19432,36481,,
19309,36387,,
19310,36349,,
19288,36331,,
19254,36246,,
19253,36277,,
19264,36291,,
19380,36430,,
19389,36435,,
19405,36451,,
19357,36386,,
19351,36401,,
19367,36411,,
19391,36480,,
19416,36464,,
19413,36467,,
19411,36420,,
19393,36446,,
19397,36441,,
19383,36404,,
19371,36418,,
19373,36413,,
19362,36407,,
19367,36423,,
19373,36418,,
19355,36447,,
19379,36426,,
19388,36436,,
19406,36401,,
19379,36429,,
19377,36420,,
19377,36443,,
19389,36437,,
19384,36430,,
19380,36430,,
19377,36416,,
19377,36424,,
19351,36368,,
19339,36375,,
19341,36378,,
19374,36375,,
19353,36398,,
19353,36399,,
19360,36424,,
19362,36406,,
19356,36403,,
19388,36429,,
19370,36414,,
19359,36405,,
19307,36379,,
19324,36363,,
19318,36353,,
19323,36329,,
19315,36350,,
19309,36343,,
19355,36373,,
19352,36390,,
19349,36400,,
19368,36416,,
19376,36424,,
19365,36412,,
19279,36348,,
19307,36334,,
19301,36343,,
19337,36414,,
19360,36408,,
19360,36407,,
19333,36407,,
19343,36389,,
19340,36389,,
19291,36343,,
19309,36340,,
19313,36347,,
19329,36383,,
19326,36367,,
19331,36375,,
19622,36712,,
19619,36712,,
19598,36674,,
19521,36624,,
19518,36593,,
19487,36559,,
19326,36324,,
19289,36325,,
19278,36308,,
19242,36292,,
19245,36270,,
19253,36277,,
19278,36352,,
19307,36337,,
19321,36345,,
19362,36376,,
19372,36418,,
19382,36436,,
19423,36472,,
19422,36474,,
19425,36483,,
19430,36449,,
19414,36464,,
19411,36468,,
19359,36442,,
19382,36428,,
19376,36424,,
19385,36408,,
19368,36421,,
19373,36426,,
19352,36394,,
19344,36386,,
19349,36389,,
19364,36405,,
19361,36413,,
19362,36404,,
19379,36430,,
19389,36447,,
19393,36447,,
19387,36437,,
19384,36434,,
19382,36428,,
19385,36449,,
19387,36442,,
19396,36435,,
19378,36390,,
19375,36416,,
19362,36407,,
19340,36418,,
19354,36396,,
19364,36403,,
19359,36422,,
19371,36417,,
19377,36428,,
19395,36409,,
19384,36421,,
19380,36435,,
19357,36376,,
19350,36390,,
19348,36390,,
19329,36395,,
19356,36401,,
19366,36409,,
19388,36424,,
19389,36434,,
19392,36444,,
19367,36444,,
19384,36434,,
19385,36434,,
19373,36441,,
19384,36446,,
19383,36427,,
19373,36408,,
19376,36431,,
19373,36421,,
19384,36410,,
19372,36418,,
19367,36424,,
19348,36428,,
19364,36416,,
19363,36420,,
19369,36380,,
19356,36408,,
19362,36399,,
19346,36383,,
19351,36401,,
19361,36412,,
19398,36436,,
19390,36441,,
19388,36437,,
19411,36498,,
19423,36473,,
19418,36477,,
19385,36453,,
19388,36434,,
19384,36433,,
19360,36390,,
19353,36399,,
19351,36393,,
19365,36389,,
19351,36389,,
19347,36387,,
19340,36411,,
19357,36401,,
19358,36405,,
19372,36386,,
19373,36425,,
19384,36423,,
19372,36415,,
19385,36429,,
19384,36439,,
19383,36459,,
19401,36450,,
19396,36449,,
19420,36422,,
19399,36445,,
19387,36438,,
19394,36411,,
19376,36424,,
19374,36419,,
19385,36441,,
19394,36447,,
19398,36450,,
19402,36430,,
19389,36426,,
19387,36443,,
19358,36451,,
19376,36427,,
19372,36417,,
19358,36424,,
19365,36417,,
19366,36421,,
19382,36410,,
19382,36429,,
19377,36430,,
19362,36398,,
19350,36402,,
19357,36400,,
19364,36441,,
19377,36426,,
19385,36437,,
19350,36435,,
19374,36419,,
19375,36427,,
19388,36388,,
19367,36416,,
19371,36413,,
19407,36484,,
19409,36469,,
19415,36457,,
19401,36459,,
19393,36445,,
19393,36438,,
19367,36417,,
19377,36427,,
19384,36424,,
19395,36426,,
19381,36432,,
19392,36432,,
19409,36437,,
19395,36448,,
19388,36448,,
19405,36415,,
19382,36432,,
19379,36419,,
19378,36390,,
19366,36413,,
19369,36407,,
19377,36429,,
19367,36419,,
19373,36422,,
19372,36408,,
19376,36420,,
19375,36414,,
19410,36473,,
19418,36478,,
19416,36465,,
19445,36489,,
19437,36493,,
19445,36493,,
19408,36492,,
19428,36485,,
19430,36492,,
19407,36496,,
19441,36493,,
19442,36502,,
19402,36415,,
19387,36436,,
19382,36425,,
19390,36474,,
19401,36462,,
19397,36460,,
19346,36427,,
19370,36414,,
19369,36418,,
19399,36423,,
19385,36434,,
19395,36447,,
19341,36408,,
19356,36397,,
19357,36410,,
19381,36450,,
19390,36447,,
19394,36444,,
19445,36451,,
19434,36496,,
19430,36475,,
19374,36445,,
19377,36424,,
19370,36422,,
19347,36399,,
19347,36396,,
19347,36388,,
19361,36401,,
19364,36415,,
19374,36422,,
19393,36441,,
19388,36434,,
19388,36436,,
19389,36425,,
19377,36429,,
19380,36422,,
19363,36444,,
19381,36432,,
19387,36429,,
19427,36455,,
19410,36464,,
19413,36460,,
19364,36446,,
19385,36434,,
19391,36421,,
19352,36436,,
19361,36410,,
19359,36401,,
19365,36380,,
19359,36411,,
19354,36404,,
19352,36422,,
19365,36405,,
19361,36414,,
19368,36437,,
19375,36424,,
19373,36420,,
19380,36416,,
19383,36435,,
19385,36434,,
19402,36446,,
19394,36445,,
19391,36440,,
19405,36438,,
19391,36446,,
19388,36447,,
